emotion;text;rand
anger;i was feeling jealous of this woman that he seems to be crushing on and all the wonderful comments he writes to her about how attractive that he thinks she is and how beautiful his words are in how he describes her beauty face;0.366873115
sadness;i feel so damn moronic especially when people are there;0.47581045
surprise;i went from feeling pretty impressed with myself having champagne toasts with my team wearing a gorgeous new suit with perfectly done hair and makeup to sitting alone on a floor with three naked toddler covered in gunk;0.973464561
surprise;i still feel sadness it is funny because they dont even know me but i feel like i am losing one of my sister;0.777864566
fear;i feel reluctant to criticize this book at all since i dont read a lot of genre fiction what i liked least here is quite typical of genre fiction and quite probably the very elements that other readers will particularly appreciate;0.332662701
surprise;i feel privledged to know him and im shocked to have actually had sex with him;0.233021058
joy;i will choose those memories that feel pleasant;0.86232825
surprise;i mentioned the feeling felt amazing;0.669242039
sadness;i feel bad for her but i a href http lolhunt;0.982484047
joy;i add oatmeal if im extra hungry but sometimes i just eat enough to feel satisfied;0.649253504
disgust;"A man tried to have sexual intercourse with me, though I had 
communicated my unwillingness. Later on, I felt disgust at that 
person as well as myself because I had partly submitted.";0.512824967
fear;i listen to the rat and feel the distressed grip of each note;0.917264635
surprise;i feel i understand everything they say and experience a strange kinship though ive never been on an actual battlefield;0.630599905
joy;i was a wee bonny lass ive always wanted to go to something like a nightclub or a party or a concert where im surrounded by hundreds of people and i feel the divine spark i feel this connection of joy with them all because briefly we are all happy;0.20995604
surprise;im on here old man winter i feel impressed to remind you that the vernal equinox is now just a week away;0.132153754
fear;i was feeling uptight earlier this evening so i took a bike ride down to the lake to go sit on the warf;0.348509456
sadness;i sometimes feel troubled;0.236040716
disgust;Whenever I see an alcoholic.;0.275566645
sadness;i did it without giving it a second thought and then after i taped it up i sat down to write because i feel a little emotional over it;0.494577739
fear;i feel distressed or lonely music is my only companion;0.379554028
surprise;i enjoy all of these aspects of my life it is hard at times to not feel completely overwhelmed;0.897566158
sadness;i am feeling that i am boring with my list so far haha;0.604856499
anger;i feel like hes mad at me and that he doesnt want to bother because its a trouble some;0.207722516
joy;i don t feel like a hero or a warrior or that i m brave or strong or amazing or any other fun word that people use to describe me;0.011406379
sadness;i look at sweet mountain planet wisp and in some ways even starlight carnival i just feel like there s a bit of missed potential here;0.380930582
joy;i feel smart and important and those are two things i havent felt in a while;0.123629692
fear;i feel like the terrified o year old being wheeled into her surgery room too scared to tell anyone that she had to pee;0.91278125
surprise;i feel like im saying i love the choreo of every song but no mercy was amazing;0.932442597
disgust;"I deliberately avoided a person who I wanted to hurt, and who 
wanted to talk to me.";0.083668014
surprise;i watched it before and didnt understand why he acted like that but when i watched this subbed version i feel more stunned;0.45504567
anger;i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal;0.833347452
surprise;i must say it feels amazing to have this much done;0.601583364
surprise;i know i know i m hardly the first person to point out how absurd this diving show splash is but don t you just totally feel like this is a funny strange topic waiting to happen;0.67822631
disgust;With an alcoholic.;0.864003443
fear;i still feel it im still rather doubtful abt life in ntu but i think;0.511447882
anger;i loved feeling in charge but hated some of the responsibility that came with it;0.461961063
fear;i feel timid about trying to break out of my fashion rut;0.992021285
surprise;i don t do touchy feely funny caption pic a href post this is how i feel about today and the people that are constantly whining to me via email e funny pic;0.932100601
surprise;i keep feeling she is curious about me and how i live my life n how you guys live your lives too;0.46988096
sadness;i still had feelings for him so he broke up with me;0.424836473
disgust;"I was sitting in school, waiting for my sister to go home. Suddenly a 
boy put fire in a paper and threw it were I was sitting. The 
paper didn't get me, but I felt terribly disgusted at this 
cowardliness and irresponsibility that caused a great 
discussion. We went to the director and he, drunk as always, said 
that I was ... attention in school. I felt disgust of this 
situation, and of the persons implicated in it.";0.566160075
fear;ive also been feeling a bit apprehensive about my first check in with the counsellor later this week;0.416789563
anger;i just didnt want this one to feel jealous of all the attention the other side got;0.789666239
fear;i feel agitated so i need to do a meeting;0.413805093
fear;i am feeling a bit doubtful;0.262215997
surprise;ive been feeling weird and old lately;0.042882649
fear;i arrived home feeling knackered confused happy and thinking that was the best date i had ever been on;0.3472087
joy;i am feeling very smug on the brink of arrogance really the house is looking pretty with suddenly a lot of red gold and green in every corner;0.591196559
fear;i am startled at how gutted i feel how shaken to the core;0.890545485
disgust;"There is a person whom I disgust. Evrey time I see her I get this 
terrible feeling I disgust her whole appearance.";0.162819316
surprise;i remember having my mouth agape and feeling stunned that here my own mother was telling me this;0.100685845
sadness;i was feeling really sentimental and a bit sour wishing i could be back in culinary school;0.021833501
anger;i feel like being spiteful of dee;0.947490813
joy;i no longer feel the urge to prove to myself how strong i am;0.602530507
disgust;I found some worms in the food and I had obviously eaten some.;0.127132477
disgust;When somebody despised a friend of mine.;0.580210995
disgust;"A girl who also hires a room in the house where I live always 
tries to make a quarrel with everyone available she disgusts me.";0.423883057
disgust;"When I was reading a book. It had nothing to do with the book 
itself but with the disagreable smell of the pages of the book.";0.321207607
anger;i really needed to let my feelings out and i m just very pissed right now;0.301376595
surprise;i am now weeks post op and i feel absolutely amazing;0.750968438
joy;i remember going to nyc and not feeling very excited and being shocked that i was quite blas about the whole trip;0.406789839
fear;i recognised that his reasons for not going made me feel agitated and for personal reasons i felt that i needed to get this child to school;0.15330549
anger;im justifying these feelings so theyre not so hateful i dont know;0.447034988
sadness;i could feel was helplessness when you broke your small year old arm;0.532014087
disgust;"I met three drunk boys, almost children, they didn't look like 
normal people.";0.87193905
surprise;i twisted way at all feel weird;0.698235669
disgust;"A person whom I thought to be honest took and spend the little 
money that I had and I had no way of getting any money in the 
few following months.";0.965263335
fear;i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby;0.902233946
disgust;"I had a class-mate who was rather stupid. I did not like him 
but I respected him. When he tried to talk to someone, they 
would not listen to him and I could not bear seeing this.";0.093513335
fear;i fear that because i suffer from depression the people i care about feel inhibited when they are going through hard times;0.304436845
fear;i feel fearful that i will never find true love;0.734343168
anger;i respond to emotional stress so differently so because he doesnt react by seeking connection by talking or touch with me and isnt open to seeking medicinal or therapeutic help i feel impatient because it seems like hes not trying to do anything about it;0.705758178
anger;i feel dissatisfied inside myself;0.178416319
surprise;i can tell i will be reading more of her and i m glad that i went through this collection of essays before reading more of her novels if only because i feel now that i understand and appreciate her and this makes me curious to read the things her mind has created;0.662347784
disgust;"Watching an alcoholic woman who was approaching everyone at the 
wharf for cigarettes - a prostitute in Auckland (elderly).";0.503475592
anger;i feel resentful and it makes me imagine how our life was meant to be;0.286655751
disgust;"I broke an egg, with which there was something wrong, into a 
little cup. There was a thick white ""wad"" in it. I tried to take 
it out and throw it in the sink.";0.133939379
fear;i still had the feeling something weird had just gone down;0.863824697
joy;i am deeply in love can make me feel worthwhile;0.256774744
fear;ill feel uptight and uncomfortable there;0.259041621
disgust;"I read a book about torture. The book described exactly how the 
torturing was done.";0.894217623
anger;i feel this is a very dangerous situation and is putting many souls at risk;0.977255575
anger;i feel extremely irritable today and i am craving weird foods like green chile which is non existent here in fort collins in its purest form;0.89352222
disgust;"Some time ago a man tried to teach me something. ""Tried"" because 
it is very difficult to teach somebody when you yourself are not 
competent and cultured.";0.391529095
sadness;i feel so awful now;0.198556704
surprise;i feel pretty amazed that we seem to have a worldwide fan base;0.849578409
anger;i didn t feel bothered by them;0.590884667
disgust;"When someone I had had a relationship (purely sexual) with came 
up to me after I had used her and acted as if nothing had 
changed.";0.539720788
fear;i left my house to teach a class and i was feeling agitated and frustrated;0.747801379
surprise;i feel most impressed with myself that i managed to eat that much but i had not eaten much today as i kinda wanted to eat fair food lol;0.697903529
anger;i will not feel resentful against any of you;0.543622939
surprise;im feeling shocked and saddened;0.888303131
joy;i do this i feel terrific afterwards and completely content;0.843830651
joy;i feel that michaelangelos and donatellos sculptures are very well done buy a lot plainer and dont include the observer;0.551369279
sadness;i feel like our friendship is damaged;0.748627389
anger;i like that there are so many places to eat drink and i really don t get the feeling that it s particularly dangerous;0.60124364
disgust;"I was working in a classmate's house with a group. A girl began 
to graze her foot against mine under the table.";0.202541477
fear;i feel really distressed by the way so many commentators are linking it to things like that flogging of the rape victim in saudi arabia;0.501740403
joy;i usually feel very welcomed into gods presence at this point;0.7317025
sadness;i shouldnt feel doomed to failure and use that as an excuse to go off the wagon but it greatly weakens ones defenses and so needs to be carefully considered instead of mindlessly taken;0.75890777
disgust;"I felt disgust with the alcohol, after I happened to see a young 
man, who was dead to the world and who wallowed on the pavement. 
This ""sight"" I watched from the bus.";0.542489515
disgust;"On the road there was a dead animal with its entrails showing and 
its skull crushed.";0.7550419
disgust;I feel disgusted with toadies, hypocrites, chameleons.;0.700421722
sadness;i really hate that feeling of getting ignored by someone u love;0.622375839
sadness;i have been living in rainy hamburg germany ive been at home with my two little girls feeling homesick at times learning how to express myself in a new language trying to remember who i am to rediscover my freedom and to keep moving forward with gratitude in this new life;0.127315392
anger;i feel very greedy and materialistic although most were great sales;0.596133512
sadness;im still feeling pretty lousy since being poorly for the last couple of weeks;0.194227443
surprise;i feel dazed and disoriented;0.071424707
fear;i get sometimes a feeling sometimes and i get frightened just like you i get frightened too but its;0.193313188
fear;i do feel doubtful i cant help but have that oh so teeny tiny speck of hope;0.407223816
surprise;i tell them i am feeling some pressure they are shocked when im at a and ready to go;0.338289842
joy;i knew that ive been nominated by angel i feel so honored;0.711990386
disgust;"While walking in town I noticed how the police harrassed a man 
who was under the influence of alcohol. They terrified him with 
the thought of arrest by driving close behind him on a pedestrian 
street. My disgust was directed at the gestures and the facial 
expressions of the policemen; they seemed to be enjoying 
themselves.";0.525903583
joy;i have had in my entire mission and it feels so good;0.634022663
disgust;When I see rotten meat.;0.755814865
joy;i still feel as passionate about this cause;0.267451389
joy;i feel valued when im with him;0.084018084
fear;i feel a bit hesitant to do so for a few reasons;0.053401736
disgust;"Having moved into a flat within the last week I felt some disgust 
that a bathroom tap had been left to drip with a faulty fawcet.";0.593551359
joy;i try new things i feel invigorated;0.239458227
anger;i feel bitchy tonight;0.772588421
surprise;i remember uploading the photos of the kit to the etsy shop and i was feeling funny;4.91059E-05
fear;i have just now dubbed my enlightened years circa march present i have always embraced the feeling of being vulnerable;0.07640949
sadness;i feel for the abused;0.988256879
disgust;"A scene in a film in which one man repressed another one. By 
concidence, their position was reversed. The other man was 
repressed in an identical way as he did before.";0.169314515
anger;i feel like we ve offended a lot of people i don t know if people are just getting soft but people were tweeting that the video was making them sick;0.580432495
disgust;I once saw an old man up the road, fossicking through the rubbish bins and the gutter. I was really disgusted at first but I've seen him a few times since then and now I feel really sorry for him and I often give him cigarettes when I see him, because he mainly goes after cigarette butts and it is revolting.;0.218052539
disgust;"My brother gave me a beating because he could not beat me 
verbally.";0.740115962
anger;i am feeling a bit irritated by all the little things though;0.883851421
fear;im not going to lie sometimes hearing myself say some of the things on my recordings makes me feel weird and insecure but just like the quote states above its a good thing;0.707248345
anger;i have gotten over feeling rude about it;0.576108877
joy;i feel extremely glad for you;0.478991604
disgust;"When I take a look into a slaughter-house and when listening to 
stories about torturing people or animals.";0.45167159
fear;i won t labor too much in describing it because i have a suspicion that all humans feel this even if they are reluctant to admit to it;0.139319913
sadness;i havent finished reading the article but i imagine it not only seeks to make readers feel stupid but also seeks to make other people feel smug about not reading;0.643191501
fear;i will not reduce myself to stupidity because i had a momentary moment of feeling threatened;0.941717087
anger;i am sorry that you feel i was being sarcastic but i really did not mean to come off like that;0.218768394
disgust;"When I watched TV and saw a performance of ""Prince"" (a popidol). 
Disgusting he'd better be a stallion.";0.454260272
sadness;i was feeling lousy and wondering if i d be able to keep up with the vlcd part of the hcg cycle;0.824284882
joy;i feel tranquil and peaceful but then go to war;0.59938961
fear;i am no longer red it feels weird;0.730295091
joy;i feel deeply appreciative of this and so excited to see them;0.890636
joy;i preached to a f students in a gospel camp they thus knew more about god and made up their minds to believe in jesus;0.382359937
fear;i know i am supposed to go to the nurses when i feel like that but i am terrified of going to the nurses station;0.343954816
anger;i feel selfish for people being worried for me;0.371151369
joy;i feel very honored that some of my artworks are part of salon maastricht;0.114866785
fear;i feel like i should live up to my image and try to change what i perceive to be in my nature my nervous personality;0.565718235
anger;i believe that americans have morphed into copping the feeling that all we have to say is i m offended and a horde of lawyers will swing into action to prevent our feelings from being hurt;0.236805931
surprise;i was worried because i thought i wasnt feeling the enthusiasm despite the number of practices rehearsals but boy was i amazed when we finally got on the stage for full runs;0.165048345
anger;i feel every time when see petty girl;0.73533306
sadness;i was told by my father that he feels i am suffering from some sort of chemical imbalance and or clinical depression and could benefit from some medication;0.246289091
joy;i feel amused february in a href http wordpress;0.692822605
anger;i remember feeling impatient with the endless and convoluted fairy tale that was told throughout the book;0.84869009
anger;im feeling rebellious and wishing that jkr had named that damn owl long tresses instead of hedwig;0.762064288
fear;i feel shaky from my anxiety and i m freaking out;0.630226326
joy;i also noticed that i can actually feel more trusting of myself and i believe that my spirit feels the same way that it can trust me and i can better trust it;0.26131076
fear;i then started feeling incredibly paranoid that i had done something wrong that one of her other friends convinced her to uninvite me because i wasnt cool enough etc;0.692228785
sadness;i could help or fix or laugh at or feel sorry for;0.748754199
sadness;i that we routinely forgo their delicious sublime organic meals because we d rather not feel quite that unwelcome;0.650246756
surprise;i spent to waste my night feeling dazed depressed and bored;0.064927819
disgust;"I had a quarrel with a friend who lived with me in the same flat. 
He moved out. Before he went he invited me and some friends for a 
drink. At last he was totally drunk and smelled disgusting. 
Besides, he told lies about us and behaved as if he was to be 
pitied.";0.511673186
anger;i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword;0.541070064
anger;i always try to get up early enough in the week to not feel rushed but it never seems to work out that way;0.754310565
joy;i now feel fairly content to give the summer up because theres so many new things to celebrate and prepare for;0.069956436
disgust;Obscene phone calls.;0.60958117
joy;i feel assured that i m doing so much right and that i am not alone;0.382710202
fear;i was living in rooms in a very lonely;0.271405185
sadness;i feel kinda dumb but what is radicalism;0.067667132
anger;i feel bothered there are five more times i feel hopeful and inspired by one of these writerly types;0.484700566
surprise;i feel really strange;0.766685707
joy;i feel like i could be perfect exactly as god would have me be as long as i am all alone in my kayak trailing the fin of a dolphin;0.547149367
fear;i talk about reprogramming the subconscious mind some people feel reluctant about the process until i explain to them that they have been and still continue to be reprogrammed by outside sources such as tv radio work play family friends and others;0.134222522
anger;i feel a little grumpy perhaps because its cold and damp typical british weather or because a client is never at home to pay his fee feeling anxious about tax or simply morning blues to say i have joy in jesus christ would not be well backed up by personal reality would it;0.255579952
disgust;"At school a classmate who was a very good pupil had to help 
another boy who performed less well. He told him on purpose the 
wrong things so that he had to repeat a year.";0.553957322
sadness;i feel as though you just completely broke me and then forgot about me leaving me shattered on the floor;0.356704857
anger;i know i know that is what is supposed to happen but it makes me feel greedy;0.46329787
fear;i want to know what youre feeling every second of every day and im terrified that what youre feeling will burn me;0.011609993
disgust;When one of my parents verbally, personally abused the other.;0.752990901
sadness;ive been feeling doomed its a gift really;0.072908087
fear;i know i set a goal of meeting a new person at every event this spring summer but i was feeling shy and sheepish;0.336790399
disgust;"A drunk man bumped into me and wanted to grip me. Fortunately I 
was able to break loose.";0.855137024
joy;i was feeling pretty joyful about having my last doctors appointment re the bike accident today;0.292426781
joy;i just feel like i want to change it again a href http sweet pleione;0.641801925
fear;i make myself believe that the guy not only likes me but that he likes me so much that he actually fears to talk to me and feels intimidated by me;0.17340626
sadness;i have returned home feeling exhausted but satisfied with my day;0.466208914
fear;i love how he makes me feel so intimidated when it comes to music;0.982869339
joy;im feeling brave i check out a href http www;0.226387964
surprise;i have a feeling that zabuza is merely curious about the whole unhinging of the jaw thing amp gt amp gt a href http twitter;0.992130053
disgust;When I got indecent offers.;0.162364152
fear;i didnt know where to feel alarmed or appalled;0.195397608
sadness;i have been feeling slightly homesick as of late too;0.925716345
surprise;i feel strange saying good over and over again because it was so far from good;0.773220677
surprise;i speak to people about it i find myself feeling pretty amazed;0.38716734
disgust;"A friend prepared a soup with chicken heads and invited me to eat 
it. I saw the eyes staring at me and the tongues hanging out of 
the bills. I was so disgusted that I felt nausea and had to leave 
the room.";0.566739255
fear;i feel scared when you don t call;0.296489278
disgust;"I was at the table at a French friend's house. They served me a 
big dish with roast cauliflower and sauce. I had to eat it. ";0.263604338
fear;i feel shy because i ve fallen in love via tumblr;0.600819563
joy;i find myself feeling happy more and more and it feels so very good;0.388662944
disgust;"Someone smoking on Electric train (Electric trains are 
non-smoking) with alcohol smell coming from person. ";0.815709635
anger;i feel so bitter and alone like seriously;0.864050746
anger;i feel agitated and cant think of anything productive to do all i can really do is lay on my bed not getting a blink of sleep but think think think;0.468908476
fear;after seeing a terror movie at the cinema;0.925942194
joy;im feeling playful and a bit inspired currently;0.066111847
fear;i feel somewhat alarmed;0.056271199
joy;i feel all glamorous;0.033559719
sadness;i immediately felt lucky then scared then ached to take away some of the pain these families are suffering i feel hopeless to do anything;0.039430673
surprise;im feeling a bit overwhelmed;0.018534646
sadness;i close my eyes but i can t help feel a re sidual melancholy either from the music or his demeanor;0.780073595
anger;i feel rushed and out of control;0.579016493
sadness;i still feel morose over it yet i havent spoken to her in years so long that i doubt that id recognize her by sight;0.030550623
surprise;i feel shocked dancing on screen ileana amp via apherald width height break case gplus window;0.961187322
fear;i mostly feel entirely indecisive;0.618355707
joy;i feel very optimistic about this coming season;0.762349765
anger;i get the feeling that drop shipped into a hostile environment he could be easily provoked;0.974482759
surprise;i was already starting to feel this strange sense of calm that i didnt feel before;0.60532867
joy;i feel that there has been some improvement in my endurance as well as my pushup ability;0.592122546
fear;i didn t feel threatened at all in fact the place seemed almost welcoming comforting even;0.572963562
surprise;i use to mess around in the centre to have a fast walk or for the everyday shopping anytime i feel amazed by trieste;0.71770696
joy;i can imagine how it feels to be in love and have that ecstatic top of the world feeling;0.940201206
anger;a drunken friend of mine was beating up another friend;0.242343099
sadness;i was feeling discouraged when it came to comic work so i ended up trying to work in the sketchbook instead;0.543433553
surprise;i head back to all familiar places a backpacker asks me directions i feel surprised to hear my voice its been a whole day of internal monologue;0.656215263
anger;i had sex the first time it just made me feel disgusted with myself why cos all of the shitty people who said to love another guy was wrong;0.722853029
surprise;i feel shocked when i saw at the visitors widget at lest sidebar of my blog that the first country is malaysia with visitors second us united state with visitors;0.860189887
sadness;i feel devastated sad disappointed angry bitter relieved and content i m working on happy;0.546872501
sadness;i was having one of those days where everything made me feel kind of weepy and incapable;0.247994401
surprise;i have moments where i just feel so overwhelmed that my eyes well up with tears;0.637803068
disgust;Whenever I see a spider or a snake I feel disgusted.;0.647507813
anger;i was left feeling aggravated at the twins disregard of their fans although given the behavior of the people who cut the line as a whole we didnt deserve much respect but even more i was left wondering about the fifteen year old boys responsibility to be role models;0.138981583
fear;ive been pretty candid with people about the story and the plot at least with the beginning but suddenly with this change im feeling reluctant to tell anyone about it;0.86294799
joy;i feel convinced that the more likable bay becomes the less daphne is allowed to be;0.261966345
sadness;i feel disheartened to message him and yet does not get a reply or any news from him;0.480547146
fear;i feel so helpless so hopeless;0.716621887
fear;i feel confused as i ve only intended to assist but it s all falling on me now;0.024220203
anger;i have hopes that coming back here trying to flesh out what im feeling doing outside of my dangerous lonely little brain cave will help me find what im looking for;0.067718449
joy;i felt a profound and dramatic shift into feeling being that divine love that i was longing for;0.516056504
fear;i know it s bad form but i bit a small piece out of this one since i was feeling timid and wasn t pleased with the fact that one strand of it was tough i didn t think it should be difficult to bite;0.687037347
disgust;"One of my flatmates and I came back to the flat Monday morning, 
to find a real Mess, left by the guy we share with.";0.637875214
anger;i still feel the bitter sweet for both parties actually;0.771484855
surprise;im starting to feel a little dazed finally;0.522758224
sadness;i hate myself and feel useless;0.615254111
surprise;im feeling a bit overwhelmed by all of the stuff;0.05217782
joy;i need to feel hope is in fact one of the most vital statements in my book according to the hundreds who ve shared with me what helps what hurts and what heals;0.864336045
disgust;At the sight of an insect, such as the black-beetle.;0.668739338
sadness;i feel exhausted by the thought of suitcase living for months being homeless for half a year;0.921416167
sadness;i would imagine this is just one of the reasons why marriage is so hard because theyll see all the good bad and ugly parts of you the parts that make it hard for you to love yourself and it feels even more awful when you feel like those parts are exposed to other people and i dont know;0.911911088
fear;i told her that im not very close to my stepsons and that i just sort of let them decide how much they want to engage with me and i try not to make them feel pressured to be close to me;0.631870081
disgust;"When I saw a fight I had a physical reaction of disgust and of 
deep perturbation.";0.526015545
anger;i love my wife and often that involves feelings however when she is not meeting my expectations or quite frankly when she makes me mad i know that i can still love her in my actions beginning with complete forgiveness;0.499267776
disgust;Nothing.;0.005592825
sadness;i was feeling a little remorseful that even jonathan franzen would hop the in my day bandwagon;0.60519957
joy;i see a man who i recognize and feel friendly towards;0.418163445
sadness;i gave my all later to regret it and feel the affects but for someone suffering on more of a downward spiral i can only begin to imagine how they may not have passed the test;0.770903688
surprise;i dont really know how i should feel im shocked really;0.27168037
surprise;i feel shocked and horrified that suicide has touched the lives of people i care about;0.112608736
fear;i was a little worried that the story would make him feel threatened but he loves it;0.202215573
joy;i consider impossible as i dread the feeling of rejection but im glad how positive amp happy u seemed after knowing hopefully im not making a mistake on this one;0.238747186
anger;i sometimes feel angry or annoyed with my partner without knowing why;0.951555722
joy;i miss feeling am his only special girl hed take out on a date;0.901225528
disgust;"We had friends to dinner and one of them threw a beer bottle in 
the air, and it bounced on an expensive table and damaged the 
table .The person did not apologise.";0.870817897
joy;i feel very thrilled with life;0.366664073
disgust;"I studied medicine for several semesters. I was always disgusted 
when we had the dissecting-course. I cannot understand why some 
persons like this course.";0.424299763
disgust;"Bisshop Ter Schure intoduced himself on TV to the Dutch Nation. 
He spoke as if he was God himself, and didn't discuss the way he 
had achieved this position.";0.600543915
anger;i remember feeling angry at that too;0.602391203
fear;i was in a camp and went out for a walk at night on my own i lost my way and spent several hours looking for the camp;0.220952936
sadness;i feel unprotected a class post count link href http reprogramming in process;0.456024155
disgust;"Disgust with oneself after being intoxicated enough to go to bed 
with a stranger.";0.731354301
disgust;"It is very difficult to relate it to a certain event. I am 
familiar with the disgust of Sartre (la nausTe), a frequently 
occurring cause may be described as ""the self-assured dullness"".";0.363601121
anger;i guess i feel a bit less irritable now that im in my pajama pants sitting in my room in the dark;0.708751067
fear;i mean when i first saw it up on the screen anyone else feel fearful about pressing that log in button;0.470743538
disgust;"At the underground station, a drunkard came to speak to me. He 
tried to ask me something but I did not answer so he began to 
speak about me with his companion. I detested this dirty 
growling man.";0.013751272
disgust;"Out of sheer curiosity, I went to see a pornographic movie in 
Copenhagen. The room was full of men, who panted and 
masturbated. Very disgusting.";0.726324404
fear;im feeling this way though im uncertain to blurt out everything here;0.377709773
sadness;i saw what he could do and then when he told me everything it was like everything just clicked and i suddenly saw him for who he really was and all these feelings id repressed came to the surface and i realized that i love him;0.661516156
disgust;"Normally my father never tells vulgar jokes, we do not speak 
about sexual things, too. But once he told such a vulgar joke, 
that I was really disgusted. He did not tell me, but some of his 
friends, but I was present.";0.440139847
anger;at the hairdressers;0.103918404
joy;i love to feel useful;0.260139846
anger;i do not like it much also because i can feel how they feel when thy die whether they were angry or extremely sad the way they died or the fact that some of them still have unfinished wishes;0.310051428
disgust;When employer made a pass at me whilst I was at work.;0.958456255
joy;i feel honolulu is a perfect choice;0.403508805
disgust;"When I entered a brothel and saw two sailors with a young 
prostitute who was not older than 18.";0.929719666
joy;i feel like they are the perfect representation of how i feel after these weeks bright and full of life;0.85271117
sadness;i feel totally submissive and totally under control;0.567766535
surprise;i feel slightly dazed amp tired too;0.232722482
disgust; When I see that the toilet is unclean;0.355956466
fear;i feel as if i might regret my choices one word to describe me could be indecisive so as you can imagine i ll have a hard time choosing;0.770764603
joy;i really have to double time with all my other works so i can update this blog soon and show the world the reasons why i feel ecstatic today img src http s;0.83051398
surprise;i feel so intellectually challenged and impressed by a young adult fantasy;0.64015662
joy;i had my fair share of them and was ready to feel comfortable and relaxed;0.890179767
sadness;i choose to respect my feelings even unpleasant ones;0.10654866
anger;i read about a politician who wants to wield ultimate control over something that affects them in no way whatsoever such as straight congressmen decrying gay marriage or male congressmen threatening to gut services that provide necessary help to women i feel violent;0.205417268
disgust;"When I read about or think about environmental pollution, the 
armor race, starvation, etc. Then one realizes that mankind is 
bad, most important is power and money, at the cost of nature and 
mankind.";0.862183519
surprise;i feel like this deserve a point of its own simply cause their coffee to me is amazing and i am really thankful for that because without it i would have fallen asleep on so many lectures in the mornings;0.199197557
surprise;i really should start packing but i m feeling slightly dazed with the passing of the days;0.539495089
disgust;"On a camp - boys and girls in one cabin. One guy forced himself 
upon another girl and was having intercourse, while the girl in 
the bunk beneath was pretending to be asleep and not be ill.";0.692114955
joy;i feel its more screen friendly than fitday;0.04283761
anger;i feel like parents wake up and say lets make a trip to the pediatricians office today so we can be rude to and annoy brooke;0.191627088
surprise;i cant quite put my finger on why i feel so weird about this scenery;0.89948674
disgust;"In a park near our home, a group of young people who were 
strangely dressed were seated in the middle of the street. They 
began to eat while carressing each other.";0.883020919
fear;ive seen it in multiple academic and work settings and i often feel helpless when thinking of solutions;0.515796464
surprise;i feel amazed and appreciate about human beings;0.186522858
sadness;i feel like i am being punished forced to leave this place i love;0.513887266
disgust;To see damaged lettuce (with worms) in the icebox.;0.713964196
disgust;A bad smelling cucumber.;0.120037511
anger;im feeling cranky tonight so im going to go ahead and point out that the world at large id say at least is comprised of big fat failure turtles who are undoubtedly making one of the mistakes listed below at this very moment;0.599438712
disgust;"No very strong such emotion. Treatment of my sister by her 
dancing instructor - he is a ""user"", i.e., takes advantage of her 
good nature.";0.788454845
anger;i made a list of resentments and the reason why i feel resentful towards certain people in my life;0.253118198
surprise;ive gotten to the point now that when i do sleep for more than a couple hours i feel funny;0.523497095
anger;i feel angry why my laptop cannot online if i am rich i can buy a better laptop so can avoid this minor technical problem if i have money i can directly send off to shop and repair;0.466659599
disgust;I felt disgusted when I found out that someone had betrayed me. That person had been dishonest with me and I felt used.;0.999547116
sadness;i have wonderful family who are constantly on the lookout for me make phone calls for me do pr for me but i feel helpless and folks i am a doer so i always feel like if i cant help myself then;0.11598915
anger;i couldn t help but feel annoyed that curly did nothing but eat and poop yet i continued on caring for him day after day;0.480075716
fear;i feel completely agitated but i dont know why;0.839271786
joy;im feeling very far from cute right about now;0.874032308
disgust;When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted.;0.883627255
sadness;i have always been one to say exactly how i feel and i have never put on a show just to impress anyone so maybe i just dont understand why people feel they have to fake it;0.567430615
disgust;When I heard about a murder of a 16-year-old girl.;0.300596599
fear;i feel fearful uneasy or upset over a situation i need to remember that he is faithful;0.635701081
fear;i feel really skeptical and scared about this exam not sure if luck will be on my side this time;0.284366951
fear;i feel a strange sense of legacy;0.611544632
joy;i feel that the distribution is important i would rather have a guaranteed loss of ten days than a chance of losing years;0.085677656
fear;im feeling a little gun shy;0.71715218
disgust;Seeing a film in which there were several bloody crimes.;0.826865525
disgust;"When my oldest sister discovered that her boyfriend had another 
girl.";0.629667665
joy;i feel like i don t have much experience in tournaments but i m trusting my swing;0.021530743
fear;i feel strange repeating things from my reviews of forgotten and revived but it bares repeating so here you go the premise of this novel is kind of brilliant and so unique;0.378238271
sadness;i feel doomed and hence my depression;0.950735171
fear;i just finished watching kill bill volume and half of volume maybe that is why i feel really agitated right now;0.387499473
sadness;i also picked up sticks to get enough sun hour to go into the basement and not feel deprived of light;0.14947164
joy;i am feeling triumphant and have to give god the glory;0.053822608
disgust;When a girl that I liked didn't accept my curting.;0.237886732
surprise;im so tired of feeling that im not funny enough not smart enough not talented enough not good enough;0.534484179
anger;i woke up cold got out of the shower feeling cold even dried my hair feeling;0.194524348
anger;i was not sure how did i feel at that time slightly annoyed and slightly grateful i guess;0.208208357
fear;i am feeling restless or agitated or frustrated or stuck i end up having dreams that wake me up at am compelled to spend an hour writing;0.106675343
