emo;text
anger;@TempestDouble_ @ibrahimkouidri3 @MesugakiArchive So am I. 3 stat gears get a good 4th stat once in a blue moon it's always some trash stat you don't need. No way to modify stats. Bad procs like 3-4 time into flat are insanely common. Getting gear with perfect combination of stats is almost impossible. No way HSR is better.
surprise;@rionuvi remember the day yq first leaked. ... the day i decided to play hsr
love;@wutheringshores That's the train from hsr coming to make a collab with ww
joy;Oomfs that play hsr I am up 20 pity and have guaranteed lined up should I do one 10 pull to see if I can get robin or just save up for e1 aventurine and potentially e1 firefly (I don't have aventurine and have e0 firefly)
anger;@OofieTV @MizzouFan87 why does it feel like everytime a story is inside a china based region story always feels lackluster or a hit or miss.. wuwa jinzhou hsr xianzhou genshin liyue
joy;@niveditaa_h Fair fair The streets in HSR are so perfect for a run or even a walk but nahi ho paa raha subah uthna 
sadness;hsr really need to stop shoving or at least tone down this boring yawning sloppy called xianzhou. 1st time I'm taking break was that patch with messy ass story about that 5 people whatever that group called and coming back at penacony. And like clockwork I'm taking break again..
love;@OofieTV I totally agree with the current HSR story being uninspired. Luka is cool but a whole story mainly about him isn't something that holds my interest.
joy;@citsacrob genshin 5.1 is gonna have main story hsr 2.5 is gonna be aventurine and bootyhill rerun hi3 7.8 is anniversary patch idv and dbd always sucked ow stinks and wuwa 1.3 is peak
joy;@sanestlyneyfan you can ship whoever u like i just tend to not interact w m x f ships
sadness;@MizzouFan87 Yeah I just had to drop HSR since I m still hooked on WuWa and HI3 I m hoping Lighter will bring me back to ZZZ and hopefully HSR will have a good story again I m so tired of the Xianzhou stuff
joy;@scrowxox thank u i know im so funny ️
joy;Oh yeah and he's also the voice of Gallagher in HSR.
sadness;why does hsr take so much storage
anger;@magsarion then again idk what the fuck they re going to do with teruko so then we just circle back to square one (aka: i dont know what the fuck is going on)
anger;my boyfriend got robin in hsr and it genuinely ruined my day
joy;@VAMcKnight That would be awesome honestly
love;OKAY THIS WILL BRING ME BACK TO ZZZ !! I ll be honest..I haven t been feeling the gacha games as of lately I tried to finish HSR 2.5 and I just didn t have it in me to finish it. BUT I WILL BE DOING WUWAS NEXT STORY UPDATE!! - that I am hype for !
sadness;@harle_tsukuyomi I was sad about the fact that he had no techs but realizing how much damage Magus does with his magic changed my mind like yeah actually you dont need that.
fear;is this how people felt when gojo died? il never make fun of jjk fans ever again.
surprise;// HSR leaks in OP Still no welt it's so over y'all
anger;Hi bad anons. If u wanna say bad things to Amy then u r going to the wrong way. The right way is: click the button on ur Twitter tag her and say what u wanna say post it. Very thank u if u could understand human language 
sadness;@keylimepie2000 Hsr doesn t have good south indian eateries good ones mtr is decent rest aren t good enough Been at hsr all my life and yeah food hsr is not the place at all
fear;@citsacrob I feel like HSR doesn't want to release a new event. Like girl we're starving give us jades
sadness;No seele rerun now i can skip 1 banner ( rappan and rerun banner) and waiting hsr new planet char https://t.co/VGGPApBFlP
joy;There s so many things that I should catch up ig.
sadness;played HI3 and Genshin but got bored and actively controlling my character is not my cup of tea (my right hand also starts to hurt from repetitive clicking). seeing HSR is a turn-based game immediately sold me.
fear;@keylimepie2000 sounds like the start of the end of the hype about HSR lets see how will this post age by 2027 2030 ... what do you say?
joy;@iLightSeeker aww I m sorry I was just joking‍↕️ I ll choose you over and over again lumiere who?
love;@neubiiyay Yeah glad that I m still alive.
love;@COSMlCFLAME ️ I'll rant about HSR when I come back to it to you I promise
joy;the hsr part of this tweet is so funny they couldn t even come up with anything so they had to mention the Chinese company adding Chinese characters to their game lmfaoooo
anger;nvm i deleted hsr since theres nothing interesting going on for the next half of the patch
love;Today has been a really productive day in the gatcha aspect. I got a double on the new ssr vyn in tears of themis got the Shorekeeper with just the stuff we got in mail in WUWA :))) makes me wanna try my luck in hsr too
anger;@clownhops @MarciManiac @Ty4UrTimeJose @kavehkisser at this point it is wuwa and hsr now being the most toxicfandoms. genshin is old talk now
love;@suamizin I'm so glad to see you say that because I feel the same way and I skip when they talk in hsr because I hate it
sadness;@zyuriiii_ AWWW IM SO SORRY ): PLEASE REMEMBER TO TAKE CARE OF YOURSELF AND HAVE MANY BREAKS!! I WISH U ALL THE BEST AND IF U WANT WE CAN TALK IN DISCORD!!
anger;@_capiitano forced to touch grass for 5 days nd i already wanna go home and play hsr and genshin jsksjd
anger;@Z0D1ACP0L1CE WHOOO I NEED CONTEXT
love;"@Veoply AM GOOOOD BUT I MISSED YOU &lt;333"
love;"@Tristan_Walther I LOVE YOU ALLLL &lt;333"
joy;@brinamonroll hsr has many many rewards so i wouldnt sweat it best of luck!!
love;@Midori_Eclipse YOU BLESS MEEE 
love;@Midori_Eclipse AWWW SLAYYY WHAT ART PROJECTS ARE YOU WORKING ON? ^^^^
sadness;@lunaedrinking seeing how hsr fandom treat ff they would have migraine playing wuwa
joy;Because of bronseele lol. At first didn't tend to spend too much time on HSR cuz I already played HI3. Didn't want to spend time on too many games. But somehow I keep playing HSR since day 1 lol. And now I play HSR more than HI3 because it's less time to farm.
love;I started new hsr quests and I'm enjoying it so far ️ Feixiao is so cool I love her ️
anger;@TempestDouble_ @ibrahimkouidri3 @MesugakiArchive I play both and it's definitely worse in HSR.
sadness;Sometimes I forget HSR has characters out in the open https://t.co/Nk9v4zffjV
surprise;This is gonna be controversial but I hope Sunday gets a new name because searching for anything related to him is miserable unless we specify hsr 
joy;stolen from stelle but looking at my profile how old do you think I am ?
joy;@Scrsyy @kzscrly Hmm what do u think about me?
anger;@kzscrly U don't have to listen to a person who can't say direct to u
joy;@CloverLover777 YAYAYAYAY IM GIVING U DOUBLE THE HUGSS
joy;this convo basically https://t.co/qIUIEt75PG
joy;@cup1ya VALLL THATS SO WONDERFUL IM SO HAPPYYY
sadness;@StarRailVerse1 I actually have a story. I was going through a heartbreak that my trusted didn't know of and I wanted to find something to distract my mind. Most games were intense and didn't help. I also had many duties that didn't allow me to enjoy much. Then I tried HSR and it was perfect.
fear;Haven t touched hsr all week how cooked am I guys
love;The birthday isn t real but yeah I like hsr // THATS MY ACCOUNT GET YOUR OWN No mine you love aventurine too much // FUCK YOUUUU
love;@minnqwi Favorite character from genshin is Hu tao from hsr is Sparkle and for wuwa Jinhsi. I'm proud to say I have all of them as well as sparkle lc jinhsi signature and hopefully homa in 5.1!
joy;I am still using my 4gb ram laptop it's good..
love;Kazuha You r Special without the E? Hmm I don't think so 
joy;@3sh44444 @NuggetsItz @hxg_diluc You're missing my point. I'd never compare Boothill to Shenhe here. There's such a clear difference there. I'm comparing Boothill to ZZZ And through that comparison saying that the she hasn't been rerun since ZZZ claim isn't that impressive esp in contrast to the HSR one
fear;@StarRailVerse1 Got very late to the genshin train because i didn't have a device that can run it and then hsr released and so i tried if my phone can even handle it and it did! And then i fell in love with the story so i still play it to this day.
anger;@Cinnadenzay Now a days it feels like people either read too much into something or not enough. I still remember the hell Robin from HSR sexuality brought as well as currently with the new ZZZ character
joy;@stellarfurina I know what you are
sadness;I am officially quitting HSR so i can spend all my money on Wuthering Waves instead https://t.co/P1Fhe5bRj6
fear;@Valenti22366367 Oh don't worry This is how it rolled by the way haha https://t.co/c3OusjwYIb
sadness;@1ce0asis Oo my gah ... I'm sorry to disappoint you with the hsr and genshin beam
sadness;@Tectone It would be so boring...
joy;I just realised that if the predictions/hopes that Sunday HSR releases in 2.7 are true this means it's Dec 3 or Dec 24 and Hoyo has the chance to do something very funny here
joy;@MissMapleStar me too instead we got aha LMAOO JDKSKS
sadness;@Valenti22366367 fail ? haha
joy;i saw somebody mention kafka(hsr) and i almost went up to them thinking they were referring to franz kafka. what does this say about me
joy;@haikavehkiss YES!! aside from hsr im also a huge twst fan so just saying....i support this hehe
joy;SOME OF MY MOOTS ARE GONNA EXPLODE OMG ARE YA WINNING OOMFIE
love;Ik it s hard to see but pretty much whenever I play genshin or hsr when I move my character and stop they just flick to the right I don t have stick drift cause I tested in other games but it s only in these 2 Idk what is causing this prb game bug but yeah. https://t.co/qCobBbnknV
joy;@0warikigan this is just like Hit hsr lightcone Final victor
surprise;HSR 2.6 voice line count leak ‼️‼️ . . . . . HUH?? WHAT??? https://t.co/J7BXEEBrjm
joy;wait guys this is a joke Dan Heng Gyat is like Dan Heng hsr and his ass
love;@babufess So happy for you two!! 
joy;...guess who's coming back to hsr 
surprise;HONKAI STAR RAIL LEAK: FILES SUGGEST THERE IS A NEW CHARACTER IN 2.7! THEY WILL BE ADDED TO THE HSR PLAYABLE CHARACTER ROSTER IN THE SAME PATCH!!!
sadness;@slutsp0 Ues I decided to make my own ibn alhaitham in HSR but he's not a su expy unfortunately
love;manifesting clients https://t.co/t8hjlSbPJn
sadness;y'all dont trust infinitweetit makes you follow acc (crypto accs) and can make you post advertisements!! 
anger;FUCKING TWEAKING RN SOMEONE PLS TELL ME SUNDAY IS NOT ACC PLAYABLE RIGHT AFTER I LOST AND QUIT HSR PLS THIS HAS TO BE A FUCKING JOKE STOP STOP SROP
sadness;Kafka is off limits but I could flip one into an HSR account too
sadness;"@StarRailVerse1 want to try gacha games and i look at HSR style is turn based i dont like hack&amp;slash"
sadness;trying to un-neglect my hsr account is so daunting it's day two and I already wanna quit
sadness;i had bootleg sellers stole my previous hsr series aha i'm not sure if i can post all the key art in full
sadness;I made a cover of Feixiao s trailer theme. But it s boring to just tweet „listen to my cover so I want to give insight what I used to make it. You can find it on YT: https://t.co/kb5mXaU8bG #Feixiao #Feixiaohsr #honkaistarrail #hsr #hsrtwt Read about the instruments here: (1/5)
fear;@DivaJain2 And people have no clue that in 3 big HSR lines we can overhaul all the tracks for the majority part of the population to travel in faster normal trains
sadness;Sadly this is the kind of patchwork done everywhere in the city. Our Dy CM made a promise of no potholes so our dear @BBMPCOMM is fulfilling it this way. Let s see how long it lasts.
joy;@gratifihouston @BayouBikeyBoi Except for hsr oh they d never do that lol
joy;Tell me why are we at a random restaurant and Robin (hsr) is singing???? I swear I thought @OffshoreAtDusk was making it up but i heard it too????
love;@StarRailVerse1 The reason i play hsr is because danheng is cool. He is my first husbando in there
joy;@Shir4su Twitter crush: ur secret crush It's just using random algorithm but pretty funny u should try
surprise;Strange how the anti HSR groups (Who are upset about the train Stealing land from farmers) are strangely silent about this 
joy;Finally a whole update I can skip... ty hsr devs
surprise;@Starluck40 @Ubatcha1 eh but so far almost all leaks of it have been confirmed. obviously we can t fully trust things but it s a bit late to go back on your word. to tell you the truth barely any info has been talked about him and ty which is agree is weird but even when hsr who never really-
anger;@SteelSeal__ fuck i have to play hsr again now
joy;@xiee_xieeee that could be a blessing or a curse depending on the person tbh it would be a blessing for me hah
joy;@Kavehsgirlie you really should i mean it's much better than genshin or hsr
joy;@pacifisomnia thank you lynn!
surprise;@SFerntree Next year's anniversary event is going to be insane lol cause it's basically a huge hsr and genshin reference
anger;I'm holding off a 5 page rant about how amazing HSR's combat story and character writing is I felt actual anger reading the game is just alive bc of ships TF IS THIS?
fear;@StarRailVerse1 Because Welt and Void Archives making the plot jump.. if it weren't for them ... I wouldn't even have bothered with HSR.
fear;whatever so not doing it again.
love;@swirlsweetie top 5 drinks! [im looking for specifically one hopefully]
anger;personal matter goes for personal matters it's rather unprofessional of you to do such thing.
fear;if i were correct that'd make so much sense as to why did they ignore my dm. 
sadness;@thijikoy sick
surprise;@CalliopeEolande @sc2_22 Calliope I didn't know you played hsr
anger;9 years on instagram and today i got restricted for the very first time bc i didnt shut up about luka hsr on my story
sadness;@DimPacifistV2 I don't think hsr fandom is ready if that happens cuz rq already a confused character https://t.co/dbIcC79NSl
joy;We continue working on the Swan. #hsr #BlackSwan https://t.co/IqquMdymUY
anger;Already juggling 3 gachas: Genshin HSR and FEH. Probably will drop Genshin or FEH for Infinity Nikki I know Hoyoverse is coming out with a cute cozy animal crossing-like game but also Hoyo lewds a lot of female characters (in minor and major ways in the 2 I ve stuck with)
joy;I find it so funny how things like alpha and beta have just lost all meaning and no one can say it without finding it funny like I started giggling at this part in hsr it's so funny when it shouldn't even be
joy;@starrymammon He's rerunning!? I'm so out of the loop with HSR lately I need to save up!
joy;Finally got my HSR goods from @yeurei https://t.co/NHvjGxPVBU
joy;i wish hsr was better
anger;@NamelessOnTop @yurigirlkeisser @swirlsweetie @IyuKaV2 @mikachhe I clearly clicked I DONT WANT TO POST THE RESULTS
sadness;Also a reminder for me I haven't done one of my hsr acc's weeklies
anger;@yurigirlkeisser @swirlsweetie @NamelessOnTop @IyuKaV2 @mikachhe STOP NO ONE SEE THIS IM SORRY
joy;Not very proud of but will upload it anyway #kafka #hsr #honkaistarrail #stellaronhunter #hoyoverse https://t.co/rNHyRCc4ja
anger;"EVERYONE GET OUT OF MY PROFILE &gt;:( NO"
fear;@NamelessOnTop @yurigirlkeisser @swirlsweetie @IyuKaV2 @mikachhe HELP THIS WASN'T SUPPOSED TO BE POSTED
anger;@CEO_of_kazuha @pikaso_me TF DID YOU RESPOND 1 SEC AFTER I POSTED? ARE YOU IN MY WALLS
fear;i didnt do my genshin and hsr dailies are my accounts ruined now? 
anger;just thinking about how the quintent marketing feels sooo irrelevant now not even a year later is so funny. hsr is peak ok we ve moved on now bitch 
sadness;I was really dissapointed because of jianxin showing in pity 16 then the animation of 5 star is showing again and i realize i got shorekeeper in pity 19 https://t.co/yPHEi8EJUm
joy;thinking about how I saw people talking about Qi on the Skysplitter and I thought my lore was canon for a minute Though if hsr ever does anything heavily with witches + witch trials I may jump actually Especially if it's similar to some of my current concepts...
sadness;@hollow_hanma For WUWA I lost to Encore while for HSR I lost to Bailu...
sadness;"guys I think I failed at finding a new pfp header whatsoever I also redid my pinned cause it was kinda meh before rate 0/5 overall if you want &lt;3"
joy;LINGSHA WANTERS WILL BE LINGSHA HAVERS #lingsha #hsr https://t.co/MA7QD3FXyA
sadness;@CEO_of_kazuha the low res picture?
sadness;it really gets boring when characters only interact with the same ppl but also i understand wanting to see more relationships fleshed out which hsr is honestly pretty ass about so far ngl
joy;I won't be able to do any exploration service today ^^ I finished every genshin service before I needed to go out :D if I'm not tired once I arrive at home I'll do HSR services later :) https://t.co/O8tHRJJ49S
joy;Pranked... #honkaistarrail #hsr #Lingsha https://t.co/qPMJLXxyGK
love;#kafblade this ship was my first introduction to hsr and I m glad it was
joy;"@StarRailVerse1 Didn't give it a try until 6days left of Seele Banner bc it's a turn based game. Finally tried it bc of FoMo and now it's my fav game out of GI HSR ZZZ &amp; WuWa"
fear;@feikongz i think hsr doesnt have this problem that much but idk maybe its just me
surprise;// hsr leaks THE FUCK IS RHIS https://t.co/FadZayWXh8
joy;@saturnstripe It's okay. We still play hsr
love;@ModraCreation Thank you for the English translation. I really like your comic
joy;i got pela in who are you in hsr quiz so i downloaded it for her (we were nothing alike)
sadness;So lazy to post this daily so I will change to post weekly
fear;@DCPSouthBCP Yesterday in broad day light in HSR LAYOUT Macdonalds signal when we were in ola third gender person started touching my son I objected then person became aggressive started spitting and pulling team to fight for no reason. I strongly object this public nuisance .
joy;as a hsr enjoyer im definitely having sm fun with this event could've added some puzzles to spice things up a bit tbvh (i still miss blizzardous' puzzles ) but so far im having a good time!
love;this kind of reminds me about my friend who knows nothing about hsr says that my wife wears a bra (ratio)
love;@yukongkisser RIGHT TINGYUN WILL BE SO PRETTY THEY NEVER MISS WITH FOXIANS AND TINGYUN WONT BE THE FIRST .. sometimes i just log into hsr to look at feixiaos in game model her face when she looks at her phone terrifies me.
joy;"i get keeping characters grouped by shared affiliation but boxing them to that forever is just . i m satisfied with how hsr handles characters bc they allow new sets of interactions everytime a character appears &amp; that s how mobage characters should be treated "
fear;i don t think there s anything like that in hsr which is honestly good bc i don t like when mobages try to sell characters in a set i get war flashbacks to gbf where they pull this shit All The Time 
sadness;@Adriana__Riddle U sometimes don't understand me? :0
joy;How good is feels to beat all endgame content in hsr https://t.co/G5EPXodExV
joy;@DailyYutane I hope...they are more in the future...i need more pulls ready!
love;@SennBlossom HE'S MY FAV IN HSR I'VE BEEN SAVING FOR HIM FOR MONTHS NOW!!
joy;Reinstalled hsr cos i heard sunday's banner's about to drop soon this is the most embarrassing thing i've done this year
joy;so. anyone got any good hsr inktober prompts 
sadness;@sparklesmeraldo unfortunately I still need to save for sunday !
joy;these new hsr characters look crazy
sadness;im doing one single pull on aventurines lc banner bc im literally like one away from pity and then not pulling anyone else bc i already have dan heng and the only hsr men i have to collect are boothill and any future men (sunday)
fear;someone said... if ppl didnt play hsr they would think hoolay and feixiao are father and daughter... and now i cant stop thinking... what if.... WHAT IF.....??!!! ??!?!?!?!
joy;@yurigirlkeisser great memory lol
fear;@xiee_xieeee haha thats a nightmare (or dream) for small accounts like us
joy;@NamelessOnTop @timelylingsha literally I want lingsha for a FF team but like I can't not save for 3.0+ and even funds for archer/other characters in fate collab cry
joy;Days since Screwllum from HSR/Honkai Star Rail first in-game appearance until drip market (if he ever gets drip marketed) Day: 479
sadness;@CEO_of_kazuha I misread the search query so badly and was like wait since when does HSR have active cars? only to then see the word honk and not honkai xd
joy;@genjismasher When game awards come hoyo is probably going to drop something like a trailer for hsr or zzz. For best mobile game of the year zzz will be nominated by the jury and will probably win against wuwa if that gets nominated by the jury.
love;@KAEBEDOIN I HAVENT EVEN GOTTEN TO THE AVENTIO BIT OF HSR AND I ALREADY LOVE THEM BC OF THIS
joy;I'm just going to... add them here hehe https://t.co/9Rb86C34R3
joy;@VanixEvans omg like the liho x hsr collab acrylic thats such a good idea ill go look into that!!
surprise;maybe some in zzz but overall I don't see anyone look different in hsr and hi3
joy;Me registering a hsr account and not logging in just so i get some free pulls from the welcome back thing to get Sunday:
anger;it doesn t apply to any hsr characters actually
joy;@naiwongpau Hsr is so chill I don't know how I ever put up with Genshin dailies
love;honestly never been more glad i stopped playing genshin and zzz and only focus on hsr that auto mode is such a life saver because MY HANDS AND MY BACK DON'T FEEL REAL ANYMORE 
joy;Guess which one of those is about to get us our first HSR
anger;@capitanoxv Local legend issue
love;@StarRailVerse1 Started to play HSR after I played Honkai Impact 3rd) Coz I like Bronya (esp. Silverwing version) and Durandal. That's why I stopped playing since I cannot get Bronya for my pull. Bronya-face so cute https://t.co/EfyLAhDTjk
sadness;Poor Dragon #RenHeng #HSR #刃丹 https://t.co/OqZl33B3qy
love;@Rev_PinkBlade But I can also totally see them being like bronseele in hsr (or at least how I see them) not officially together bc both are too scared to make a move lol
sadness;i m quitting HSR
anger;This HSR event is all about whitewashing the IPC and ugh come on at least try to do it properly
love;Seele pspspsps ruin my pulls I have Bronya pspspsps
fear;Australian HSR would be so goated unfortunately nothing ever happens
love;@StarRailVerse1 mainly because of Honkai Impact 3rd (since I knew the characters and I was so happy when I got Himeko in the beginner banner and Seele in her first banner) but also I like the art style of the characters. so yeah my curiosity was there and started to play HSR
love;Like in HSR I can still somewhat gag at the human guys because I know we're not getting anything remotely furry here though...
joy;@jilroberts i think they ll be around same level but just used in different teams. kinda like ruan mei and robin in hsr
joy;Get you a general who can do both #hsr #feixiao https://t.co/zwBYaMKcr8
joy;Because of Honkai Impact 3rd After I started playing HI3 I was told by a CN friend that there was a HoYo game being developed which is part of the Honkai series so I started paying attention to the beta testing and information about this game Yes this is HSR
love;@StarRailVerse1 I always liked RPGs but I was burnt out from genshin to this day anytime I try to pick up open world I immediately lose the motivation to continue playing. But hsr was such a fun rpg that actually respected my time (I m looking at you brave frontier)
sadness;Time to uninstall HSR again https://t.co/ZK17uhzF8t
love;look at this cute little baby i want one https://t.co/jko3223HNT
surprise;Brain is overcooked cause been reviewing the whole day
love;hsr bc it s the only game i play
love;hsr thought. i want dr ratio to get jumped so bad (i do genuinely like him) it would be great i think
love;This is GORGEOUS also not yet on sale https://t.co/hSDCVsFP8n
sadness;I don't play HSR as much anymore :/ https://t.co/7Rm7TR59qK
love;me working and listening to robin's album like
joy;not gonna get into hi3 or hsr but i am a voidwelt enjoyer
anger;It s so fucking diabolical that they put two of my top 3 HSR characters on the same fucking banner and only one patch after Feixiao too
joy;Client #214 Needs 7 Story Quest Act I and 3 Side World Quest PAID client s name: Hanako Ice (returning) https://t.co/3p726oOMNy
joy;@Alcorian84 Yes his personality is kinda going with a bit of Argenti from HSR ( beauty above all ) and a bit of a jokester.
joy;Proof #82! Thank you so much @/AWild_Flame ! #feilanproofs #genshinimpact #genshintwt #genshinpilot https://t.co/D6xbXtrpuY
joy;@Aaru_91 Entry acknowledged. Thank you!
joy;@Ganyu3110 goodluck with your future pulls !! based on leaks the total astrites we should get is about 86+ worth of pulls for this patch alone :3 take that info with a grain of salt though
anger;5.1 genshin a complete chop 2.5 hsr flavourless as hell hi3 tanked idv released the most boring season ever dbd in the worst state rn and ow shit from a butt https://t.co/Dewe4NJqa7
surprise;// HSR SPOILERS . . . . . . . . . . . WE'RE TRAVELLING IN SPACE ON A TRAIN?!?!?!?
joy;@okularnik125 @imgalado They can't really be compared either dur to drastically different art style. Wuwa and hsr can definitely be compared tho since graphically they share a similar art style and graphical fidelity.
love;This is why hsr is the best gacha game ever️️️
joy;@HimmyVtuber It's no fun to get spoiled ️ Himster HSR arc incoming?
joy;woke up last day before i start studying so is time to hsr maxx 
joy;@polkasslvt the character designs in the game god theyre so good infact the overall artstyle of the game itself is just top notch
joy;@TimelyMisha_HSR @sann_r_ he reminds me of that green haired guy in ao ashi. insignificant and unimportant but was the first guy to talk to the protag so is somehow always there.
surprise;@polkasslvt I THOUGHT IT WAS IMPOSSIBLE
joy;@tenstonehearts_ erm actually since theres no double o's it would become no pal 
joy;@hoppie426 @SonGokuKaioken0 @honkaistarrail Union actors are not. Non-union actors can since HSR is a non-union game (as in they never made any agreements with SAG-AFTRA befofehand).
joy;getting to the true relic grinding in HSR has been an eye opening experience like they do NOT want you to enjoy the game that is very clear to me now
sadness;@slimeshakalaka @tenbirdsdecree ik we're moots on my hsr accs but i rarely even visit them but can i follow xueyi on here.......
sadness;Is it just not appearing on my fyp or no one is talking about HSR these days??
sadness;was on my phone for five seconds while playing hsr and i missed firefly s death KILL MEEEEEEE
anger;hsr is so freakin' boring this has the longest time to fight a boss in gacha games. watching the characters I don't like to use in game to fight a boss for 18 mins+ on my phone screen. https://t.co/yOdfZ7rYwt
joy;update: he finally knows i play hsr. it almost took him a whole ass year to find out IM LAUGHIGNDHGDHG
surprise;@viapokii @ennu_1 Hah then why is Hsr and Zzz models looking exactly the same from 2d art? But only not Genshin Dawei said a couple years ago that he only cares about Honkai and new projects
joy;The Luke icon here matches the quote for some reason 
sadness;@TheLegalMindset I love HSR but I hate that side of the community. Especially the western side Even some EN voice actors think like this A good example is Seele in EN hates Luka but in every other language. They childhood friends. They grew up together. Even localization text suffers from this. https://t.co/OkzvtoEAdU
joy;"Being part of the Q&amp;A panel was nerve-wracking but it was all fun! A lot of scuff happened but everything went well in the end. And another memorable moment is I got to participate in a HSR Sticker rally. It was so fun! I will post my con haul tomorrow."
surprise;@Kaiser_Allen20 IT'S SUPPOSED TO BE AN OUTFIT BASED FROM KAFKA HSR
joy;@qingcilia I DONT EVEN KNOW study maybe go for a walk???? def work a bit on the dottore piece .. catch up on hsr??
joy;@SimpGyllenhaal this Bronya? didnt play honkai impact but fandom wiki says shes russian can understand Bronya from star rail not being russian bc theres no russia in hsr universe shes belobogian then https://t.co/Q3ud24nxHZ
joy;" isn t the trend to draw flowers coming out of the right side of their face? I F#₱&gt;!NG CANT I EATED IT ALL #sunday #hsr #hsrsunday #SundayHSR happy sunday ️ https://t.co/DRBcPpekAl"
love;@tenstonehearts_ HES SO CUTE HERE BTW
joy;@tenstonehearts_ Tbf i think including this opal was drawn like what 3 times?
joy;@anordinaryacc Probably (aside from old people)
joy;Hwee should i get caught up on hsr I miss gal gor
anger;Wtf has happened to onmyoji and why is it on hsr's level of dedesigbs 
anger;beg to differ... hsr characters actually looking good in-game. like me thinks if genshin invented on the word visual hsr puts so much more on the characters. even genshin isn't that bad if not for its racism https://t.co/Vpxo1HQ8WU
surprise;//HSR LEAKS TALK - - - - - fym AVENTURINE IS RERUNNING IN 2.6???? I ve been pulling for 3 patches straight now AND I STILL HAVE TO SVA EUP GOR SUNDAY
anger;@anordinaryacc My male classmates are so homophobic and transphobic like they'll all male idols slurs omg My classmates mostly like Hindi music
joy;"decided to watch law &amp; order and i forgot genshit and hsr exist. I'm healing"
joy;If anyone still needs Natlan to be explored to get the rewards this would be a great time #genshintwt #genshinpilot
joy;@Sam_b_aguette @october_1_27 @GenshinUniverse I played all three games and i quit all three lmfaoo but alr you keep playing wuwa and hsr and keep telling urself you are better
fear;@naufalariffm Unfortunately I barely have the time for HSR and Genshin so I can't really fo other games
fear;@4shi3d @nuiilar Oh gosh God forbid artist to draw tattoo at this point.
sadness;@reyter111 Half HSR. The population is too small.
joy;A lot of yapping but I thought designing kits too would be fun! Acheron is basically raiden 2 but black swans sounds pretty unique I think. I m not a game designer tho and can t say anything about numbers or balancing. Character design was fun tho maybe eimiko in hsr next?
joy;me after playing hsr for a week
love;i love this game mode are there any similar games on pc? https://t.co/fHXhyMdWgJ
joy;"@TAESE0BIE @ennu_1 Cope wtf HSR gets the same treatment and its players love to think it is something better maybe to justify their constant whiny behaviour; look at Rappa enemy designs or Janque smt idk. They also use same 3d models"
joy;@kaloiikd i alr completed most of the content in hsr so im catching up to zz and genshin rn more lighter savings since he might come in nov 
joy;Red-eyed Yingxing early HSR era was someone else idk how to describe it. That man was humble and polite.
joy;people following me for hsr leaks little do they know that i will yap about gay people 99% of the time hahaha...
joy;I think HSR models already look better than a lot of genshin ones (looking at you diluc) but yea some really still have some weird faces... (gallagher...)
joy;need hsr ffxiv au NOW (i am the one who has to draw it)
sadness;@ceddification on a biiig HSR hiatus rn focusing my gacha energy into zzz rn lighter is waiting for me
joy;girl what am i saying...I MEANT TO SAY HAIR MODELS LOOKS BETTER IN HSR THAN GENSHIN but genshin is an open world game so ig thats why
joy;@arlecchinopilot pls save him
joy;@adventoon Hello!! I love reading manhwas :D i do watch series sometimes.. though i havent opened my hsr in so long but i do like hsr!!
fear;how am i supposed to survive this 
surprise;@jiy3hschae ....shit I've been found out- ABORT MISSION- https://t.co/A7myS8WCoG
joy;Jingliu still the baddest bitch in HSR imo 
joy;@Cdr_mst Thank you for funding this game!
joy;@ElationOfAha This is where hsr feel peaked to me and i know nothing else
joy;i think hsr is the only game i play where i don't really care abt the fem mc. i LOVE belle and i really like lumine (she's cool as hell)
joy;Im planning to start wuwa and hsr redesigns sometime....i think wuwa designs are already so good and ill maybe just make them dress in a different style
anger;"god topaz is legit one of the worst written -&gt; ok who are these party poopers and their h8 against like every single hsr character i dare to show the slightest interest to https://t.co/yNJ3XN5PLo https://t.co/c03id1XVxF"
joy;hsr really is testing my sunday funds with aven
joy;"RT &lt; and I think that will be included contents from Content Creator server as well (if there is one like hsr or gnshn the cc has to experience them before official released to make a guide vid for that too)"
surprise;//HSR 2.6 banner leaks - - - - - - What do you mean Acheron banner is in the second half of 2.6...bro I am broke af and I need her lightcone...
joy;@boczussyv3 Same also my luck is rlly good in it (unlike hsr)
joy;I NEED THIS SO BADD
anger;@vinribbon These new age fujos are ruining the yaoi economy fr i had to see top aventurine hsr yesterday
joy;@sunshinekim22 buseett congratss winnn!!
joy;@eternalqixing skipping cuz im waiting for a neuvillette rerun. i want to c6r5 him hehe
joy;@HSRAnythingBot Igor Haft belobog (he would look this up to see if theres anything about him on the internet)
joy;@inarsdale You have all the time in the world no worries. Although I must say that HSR is getting more interesting day by day as in the storyline I mean. I'm invested in it these days and speed-running all the quest.
joy;@aspenvrse NAHHHH NOBODY WILL and even if some did it doesnt mean you should stop posting abt ur hsr oc either!
joy;Just played a little bit of the new Black Shores update I'm not too far but I love the implications of the story so far I love that it feels like a different take on the same theme HSR is playing with in regards to Trailblazer and the Stellaron Hunters!!!
joy;@kiraradeliverie @hyvmoot Can it be supply pass for hsr if the winner wishes ?they have the same value
joy;@AochiiY Yesssh that s why I ve been playing HSR since day one because of his existence 
